planet,m_diameter,m_distance
Earth,3475,384400
Mars,12.4,23460
Mars,22.5,9270
Jupiter,60,128852	
Jupiter,20,129000	
Jupiter,250,181366
Jupiter,116,222452	
Jupiter,3660,421700	
Jupiter,3121.6,671034	
Jupiter,5262.4,1070412
Jupiter,4820.6,1882709
Jupiter,8,7393216	
Jupiter,16,11187781
Jupiter,170,11451971
Jupiter,2,11453004
Jupiter,2,11494801
Jupiter,36,11740560
Jupiter,86,11778034
Jupiter,4,12570424
Jupiter,3,17144873
Jupiter,1,17739539
Jupiter,1,18928095
Jupiter,2,19088434
Jupiter,2,19621780
Jupiter,2,20219648
Jupiter,1,20307150
Jupiter,2,20453753
Jupiter,3,20464854
Jupiter,4,20540266
Jupiter,2,20567971
Jupiter,2,20571458
Jupiter,3,20595483
Jupiter,2,20639315
Jupiter,5,20722566
Jupiter,2,20743779
Jupiter,7,20823948
Jupiter,4,21063814
Jupiter,2,21129786
Jupiter,4,21182086
Jupiter,4,21405570
Jupiter,2,21429955
Jupiter,28,21454952
Jupiter,2,22134306
Jupiter,3,22285161
Jupiter,2,22394682
Jupiter,1,22401817
Jupiter,2,22409207
Jupiter,5,22438648
Jupiter,2,22696750
Jupiter,4,22713444
Jupiter,2,22720999
Jupiter,2,22730813
Jupiter,2,22739654
Jupiter,3,22986266
Jupiter,4,23044175
Jupiter,2,23111823
Jupiter,2,23169389
Jupiter,1,23174446
Jupiter,5,23180773
Jupiter,46,23197992
Jupiter,9,23214986
Jupiter,3,23230858
Jupiter,2,23240957
Jupiter,2,23307318
Jupiter,2,23314335
Jupiter,2,23345093
Jupiter,2,23396269
Jupiter,1,23400981
Jupiter,4,23483694
Jupiter,2,23483978
Jupiter,2,23570790
Jupiter,60,23609042
Jupiter,3,23702511
Jupiter,3,23717051
Jupiter,4,23800647
Jupiter,1,23857808
Jupiter,4,23973926
Jupiter,38,24057865
Jupiter,2,24252627
Jupiter,4,24264445
Jupiter,5,24687239
Jupiter,2,28570410
Saturn,0.3,117000	
Saturn,28.2,133584	
Saturn,7.6,136505
Saturn,30.2,137670
Saturn,86.2,139380
Saturn,81.4,141720
Saturn,116.2,151422
Saturn,179,151472
Saturn,0.5,167500
Saturn,396.4,185404
Saturn,3.2,194440
Saturn,1.8,197700
Saturn,5,212280
Saturn,504.2,237950
Saturn,1062,294619
Saturn,24.8,294619
Saturn,21.4,294619
Saturn,1122.8,377396
Saturn,35.2,377396
Saturn,2.6,377396
Saturn,1527,527108
Saturn,5149.4,1221930
Saturn,270,1481010
Saturn,1468.6,3560820
Saturn,16,11294800
Saturn,12,11355316
Saturn,213,12869700
Saturn,22,15103400
Saturn,8,15672500
Saturn,4,15892000
Saturn,4,16055000
Saturn,32,16266700
Saturn,4,16981000
Saturn,6,17153520
Saturn,10,17236900
Saturn,6,17473800
Saturn,4,17568000
Saturn,40,17776600
Saturn,7,17910600
Saturn,6,18056300
Saturn,6,18065700
Saturn,8,18168300
Saturn,6,18556900
Saturn,15,18562800
Saturn,6,18652700
Saturn,7,18725800
Saturn,4,19099200
Saturn,6,19104000
Saturn,7,19395200
Saturn,3,19418000
Saturn,7,19579000
Saturn,6,19709300
Saturn,5,19905900
Saturn,6,19976000
Saturn,5,19984800
Saturn,7,20278100
Saturn,3,20396000
Saturn,6,20482900
Saturn,5,20518500
Saturn,7,20570000
Saturn,6,20576700
Saturn,3,20636000
Saturn,4,21163000
Saturn,4,21174000
Saturn,4,21214000
Saturn,6,21308000
Saturn,4,21908000
Saturn,4,21930644
Saturn,4,22020000
Saturn,6,22288916
Saturn,7,22321200
Saturn,6,22412000
Saturn,18,22429673
Saturn,3,22645000
Saturn,3,22901000
Saturn,6,22984322
Saturn,3,23192000
Saturn,3,23575000
Saturn,4,24168000
Saturn,3,24299000
Saturn,6,24504879
Saturn,4,26676000
Uranus,40,49770	
Uranus,43,53790
Uranus,51,59170
Uranus,80,61780
Uranus,64,62680
Uranus,94,64350
Uranus,135,66090
Uranus,72,69940
Uranus,18,74800
Uranus,90,75260
Uranus,30,76400
Uranus,162,86010
Uranus,25,97700
Uranus,471.6,129390
Uranus,1157.8,191020
Uranus,1169.4,266300
Uranus,1576.8,435910
Uranus,1522.8,583520
Uranus,22,4276000
Uranus,42,7230000
Uranus,32,8002000
Uranus,18,8571000
Uranus,157,12179000
Uranus,20,14345000
Uranus,50,16418000
Uranus,48,17459000
Uranus,20,20900000
Neptune,60.4,48224	
Neptune,81.4,50074
Neptune,156,52526
Neptune,174.8,61953
Neptune,194,73548
Neptune,34.8,105283
Neptune,420,117646
Neptune,2705.2,354759
Neptune,357,5513818
Neptune,62,16611000
Neptune,44,22228000
Neptune,42,23567000
Neptune,40,48096000
Neptune,60,49285000
Pluto,1212,17536
Pluto,16,42656
Pluto,49.8,48694
Pluto,19,57783
Pluto,50.9,64738
Haumea,170,25657
Haumea,310,49880
Makemake,160,21257
Eris,700,37350
