name,radius,mass,perih_distance,long_perih,long_asc_node,inclination,color,num_moon,m_diameter,m_distance
Mercury,2439.7,0.33011,46.00,77.45645,48.33167,7.00487,blue,0,,
Venus,6051.8,4.8675,107.48,131.53298,76.68069,3.39471,green,0,,
Earth,6378.137,5.9724,147.09,102.94719,-11.26064,0.00005,blue,1,3475,384400
Mars,3396.2,0.64171,206.62,336.04084,49.57854,1.85061,red,2,12.4,23460
,,,,,,,,,22.5,9270
Jupiter,66854,1898.19,740.52,14.75385,100.55615,1.30530,orange,79,60,128852	
,,,,,,,,,20,129000	
,,,,,,,,,250,181366
,,,,,,,,,116,222452	
,,,,,,,,,3660,421700	
,,,,,,,,,3121.6,671034	
,,,,,,,,,5262.4,1070412
,,,,,,,,,4820.6,1882709
,,,,,,,,,8,7393216	
,,,,,,,,,16,11187781
,,,,,,,,,170,11451971
,,,,,,,,,2,11453004
,,,,,,,,,2,11494801
,,,,,,,,,36,11740560
,,,,,,,,,86,11778034
,,,,,,,,,4,12570424
,,,,,,,,,3,17144873
,,,,,,,,,1,17739539
,,,,,,,,,1,18928095
,,,,,,,,,2,19088434
,,,,,,,,,2,19621780
,,,,,,,,,2,20219648
,,,,,,,,,1,20307150
,,,,,,,,,2,20453753
,,,,,,,,,3,20464854
,,,,,,,,,4,20540266
,,,,,,,,,2,20567971
,,,,,,,,,2,20571458
,,,,,,,,,3,20595483
,,,,,,,,,2,20639315
,,,,,,,,,5,20722566
,,,,,,,,,2,20743779
,,,,,,,,,7,20823948
,,,,,,,,,4,21063814
,,,,,,,,,2,21129786
,,,,,,,,,4,21182086
,,,,,,,,,4,21405570
,,,,,,,,,2,21429955
,,,,,,,,,28,21454952
,,,,,,,,,2,22134306
,,,,,,,,,3,22285161
,,,,,,,,,2,22394682
,,,,,,,,,1,22401817
,,,,,,,,,2,22409207
,,,,,,,,,5,22438648
,,,,,,,,,2,22696750
,,,,,,,,,4,22713444
,,,,,,,,,2,22720999
,,,,,,,,,2,22730813
,,,,,,,,,2,22739654
,,,,,,,,,3,22986266
,,,,,,,,,4,23044175
,,,,,,,,,2,23111823
,,,,,,,,,2,23169389
,,,,,,,,,1,23174446
,,,,,,,,,5,23180773
,,,,,,,,,46,23197992
,,,,,,,,,9,23214986
,,,,,,,,,3,23230858
,,,,,,,,,2,23240957
,,,,,,,,,2,23307318
,,,,,,,,,2,23314335
,,,,,,,,,2,23345093
,,,,,,,,,2,23396269
,,,,,,,,,1,23400981
,,,,,,,,,4,23483694
,,,,,,,,,2,23483978
,,,,,,,,,2,23570790
,,,,,,,,,60,23609042
,,,,,,,,,3,23702511
,,,,,,,,,3,23717051
,,,,,,,,,4,23800647
,,,,,,,,,1,23857808
,,,,,,,,,4,23973926
,,,,,,,,,38,24057865
,,,,,,,,,2,24252627
,,,,,,,,,4,24264445
,,,,,,,,,5,24687239
,,,,,,,,,2,28570410
Saturn,60268,568.34,1352.55,92.43194,113.71504,2.48446,orange,82,0.3,117000	
,,,,,,,,,28.2,133584	
,,,,,,,,,7.6,136505
,,,,,,,,,30.2,137670
,,,,,,,,,86.2,139380
,,,,,,,,,81.4,141720
,,,,,,,,,116.2,151422
,,,,,,,,,179,151472
,,,,,,,,,0.5,167500
,,,,,,,,,396.4,185404
,,,,,,,,,3.2,194440
,,,,,,,,,1.8,197700
,,,,,,,,,5,212280
,,,,,,,,,504.2,237950
,,,,,,,,,1062,294619
,,,,,,,,,24.8,294619
,,,,,,,,,21.4,294619
,,,,,,,,,1122.8,377396
,,,,,,,,,35.2,377396
,,,,,,,,,2.6,377396
,,,,,,,,,1527,527108
,,,,,,,,,5149.4,1221930
,,,,,,,,,270,1481010
,,,,,,,,,1468.6,3560820
,,,,,,,,,16,11294800
,,,,,,,,,12,11355316
,,,,,,,,,213,12869700
,,,,,,,,,22,15103400
,,,,,,,,,8,15672500
,,,,,,,,,4,15892000
,,,,,,,,,4,16055000
,,,,,,,,,32,16266700
,,,,,,,,,4,16981000
,,,,,,,,,6,17153520
,,,,,,,,,10,17236900
,,,,,,,,,6,17473800
,,,,,,,,,4,17568000
,,,,,,,,,40,17776600
,,,,,,,,,7,17910600
,,,,,,,,,6,18056300
,,,,,,,,,6,18065700
,,,,,,,,,8,18168300
,,,,,,,,,6,18556900
,,,,,,,,,15,18562800
,,,,,,,,,6,18652700
,,,,,,,,,7,18725800
,,,,,,,,,4,19099200
,,,,,,,,,6,19104000
,,,,,,,,,7,19395200
,,,,,,,,,3,19418000
,,,,,,,,,7,19579000
,,,,,,,,,6,19709300
,,,,,,,,,5,19905900
